ORDERNUMBER,QUANTITYORDERED,PRICE_EACH (After Discount),CUSTOMER_TYPE,GROSS_SALES_VALUE,Date_Of_Sale (mm-dd-yyyy),STATUS,QTR_ID_of_Order,MONTH_ID_Of_Order,YEAR_Of_Order,CUSTOMERNAME,PHONE,CITY,POSTALCODE,COUNTRY,CONTACTLASTNAME,CONTACTFIRSTNAME,Customer_Company_Size
10100,46,100,3,4600,01-06-2003,Shipped,1,1,2003,Online Diecast Creations Co.,6035558647,Nashua,62005,USA,Young,Valarie,Medium
10100,66,67.8,2,4475,01-06-2003,Shipped,1,1,2003,Online Diecast Creations Co.,6035558647,Nashua,62005,USA,Young,Valarie,Medium
10100,38,86.51,4,3287,01-06-2003,Shipped,1,1,2003,Online Diecast Creations Co.,6035558647,Nashua,62005,USA,Young,Valarie,Small
10100,65,34.47,1,2241,01-06-2003,Shipped,1,1,2003,Online Diecast Creations Co.,6035558647,Nashua,62005,USA,Young,Valarie,Small
10101,41,100,4,4100,01-09-2003,Shipped,1,1,2003,"Blauer See Auto, Co.",+49 69 66 90 2555,Frankfurt,60528,Germany,Keitel,Roland,Medium
10101,42,100,1,4200,01-09-2003,Shipped,1,1,2003,"Blauer See Auto, Co.",+49 69 66 90 2555,Frankfurt,60528,Germany,Keitel,Roland,Medium
10101,61,31.2,3,1903,01-09-2003,Shipped,1,1,2003,"Blauer See Auto, Co.",+49 69 66 90 2555,Frankfurt,60528,Germany,Keitel,Roland,Small
10101,62,53.76,2,3333,01-09-2003,Shipped,1,1,2003,"Blauer See Auto, Co.",+49 69 66 90 2555,Frankfurt,60528,Germany,Keitel,Roland,Small
10102,55,100,2,5500,01-10-2003,Shipped,1,1,2003,Vitachrome Inc.,2125551500,NYC,10022,USA,Frick,Michael,Medium
10102,57,50.14,1,2858,01-10-2003,Shipped,1,1,2003,Vitachrome Inc.,2125551500,NYC,10022,USA,Frick,Michael,Small
10103,42,100,11,4200,1-29-2003,Shipped,1,1,2003,Baane Mini Imports,07-98 9555,Stavern,4110,Norway,Bergulfsen,Jonas,Medium
